iShares MSCI EAFE ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Aug 14, 2001"
Shares Outstanding,"928,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"TSCO","TESCO PLC","Equity","0.21","3.19","42,330,709.00","135,186,167.00","135,186,167.00","Consumer Staples","0884709","GB0008847096","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MQG","MACQUARIE GROUP LTD DEF","Equity","0.21","96.57","1,397,969.00","134,998,374.90","134,998,374.90","Financials","B28YTC2","AU000000MQG1","Asx - All Markets","Australia","USD","AUD","1.48"
"DB1","DEUTSCHE BOERSE AG","Equity","0.21","163.85","821,774.00","134,649,681.19","134,649,681.19","Financials","7021963","DE0005810055","Xetra","Germany","USD","EUR","0.91"
"LONN","LONZA GROUP AG","Equity","0.21","407.87","321,648.00","131,189,182.73","131,189,182.73","Health Care","7333378","CH0013841017","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"GIVN","GIVAUDAN SA","Equity","0.21","3,275.66","39,884.00","130,646,362.38","130,646,362.38","Materials","5980613","CH0010645932","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"CRG","CRH PLC","Equity","0.20","37.70","3,445,134.00","129,877,119.64","129,877,119.64","Materials","4182249","IE0001827041","Irish Stock Exchange - All Market","Ireland","USD","EUR","0.91"
"8031","MITSUI LTD","Equity","0.20","17.82","7,160,900.00","127,615,452.63","127,615,452.63","Industrials","6597302","JP3893600001","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"6594","NIDEC CORP","Equity","0.20","131.48","966,500.00","127,077,835.81","127,077,835.81","Industrials","6640682","JP3734800000","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","0.20","24.71","5,114,462.00","126,363,641.71","126,363,641.71","Consumer Staples","BD0Q398","NL0011794037","Euronext Amsterdam","Netherlands","USD","EUR","0.91"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Equity","0.20","10.76","11,706,078.00","125,919,149.67","125,919,149.67","Industrials","6200882","AU000000TCL6","Asx - All Markets","Australia","USD","AUD","1.48"
"3382","SEVEN & I HOLDINGS LTD","Equity","0.20","38.49","3,262,480.00","125,578,875.57","125,578,875.57","Consumer Staples","B0FS5D6","JP3422950000","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"VNA","VONOVIA SE","Equity","0.20","56.12","2,226,002.00","124,933,362.78","124,933,362.78","Real Estate","BBJPFY1","DE000A1ML7J1","Xetra","Germany","USD","EUR","0.91"
"IFX","INFINEON TECHNOLOGIES AG","Equity","0.20","23.02","5,398,169.00","124,287,694.07","124,287,694.07","Information Technology","5889505","DE0006231004","Xetra","Germany","USD","EUR","0.91"
"ORA","ORANGE SA","Equity","0.19","14.41","8,596,748.00","123,884,769.55","123,884,769.55","Communication","5176177","FR0000133308","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"9022","CENTRAL JAPAN RAILWAY","Equity","0.19","198.51","623,300.00","123,729,104.82","123,729,104.82","Industrials","6183552","JP3566800003","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"HEIA","HEINEKEN NV","Equity","0.19","108.09","1,117,721.00","120,815,483.37","120,815,483.37","Consumer Staples","7792559","NL0000009165","Euronext Amsterdam","Netherlands","USD","EUR","0.91"
